Time [s], Analyzer Name, Decoded Protocol Result
4.516722458333334,SPI,MOSI: l (0x6C)
4.517625083333333,SPI,MOSI: : (0x3A)
4.518527750000000,SPI,MOSI: ' ' (0x20)
4.519430625000000,SPI,MOSI: 0 (0x30)
4.520333583333334,SPI,MOSI: 0 (0x31)
4.521236333333333,SPI,MOSI: 0 (0x38)
4.522139083333333,SPI,MOSI: 0 (0x44)
4.523041958333334,SPI,MOSI: 0 (0x38)
4.523944708333334,SPI,MOSI: 0 (0x37)
4.524847250000000,SPI,MOSI: '0' (0x00)
4.525750291666666,SPI,MOSI: '0' (0x00)
4.526653333333333,SPI,MOSI: ' ' (0x20)
4.527556291666667,SPI,MOSI: ' ' (0x20)
4.528459250000000,SPI,MOSI: ' ' (0x20)
4.529362208333334,SPI,MOSI: ' ' (0x20)
4.530265166666666,SPI,MOSI: ' ' (0x20)
4.531168083333333,SPI,MOSI: ' ' (0x20)
4.532071041666667,SPI,MOSI: ' ' (0x20)
4.532974000000000,SPI,MOSI: ' ' (0x20)
4.533876958333333,SPI,MOSI: ' ' (0x20)
4.534779916666666,SPI,MOSI: ' ' (0x20)
4.535682833333333,SPI,MOSI: ' ' (0x20)
4.536585791666667,SPI,MOSI: ' ' (0x20)
4.537488750000000,SPI,MOSI: ' ' (0x20)
4.538391708333333,SPI,MOSI: ' ' (0x20)
4.539294666666667,SPI,MOSI: ' ' (0x20)
4.540197625000000,SPI,MOSI: ' ' (0x20)
4.541100541666666,SPI,MOSI: ' ' (0x20)
4.542003500000000,SPI,MOSI: ' ' (0x20)
4.542906458333333,SPI,MOSI: ' ' (0x20)
4.543809416666667,SPI,MOSI: ' ' (0x20)
4.553535791666667,SPI,MOSI: '0' (0x00)
4.554307416666667,SPI,MOSI: '30' (0x1E)
4.555075041666667,SPI,MOSI: '236' (0xEC)
4.555818500000000,SPI,MOSI: '143' (0x8F)
4.556539416666666,SPI,MOSI: '255' (0xFF)
4.557340500000000,SPI,MOSI: '199' (0xC7)
4.558159166666667,SPI,MOSI: '199' (0xC7)
4.559085708333333,SPI,MOSI: '252' (0xFC)
4.559988125000000,SPI,MOSI: '198' (0xC6)
4.560890750000000,SPI,MOSI: s (0x73)
4.561793291666667,SPI,MOSI: '1' (0x01)
4.562696250000000,SPI,MOSI: '3' (0x03)
4.563599125000000,SPI,MOSI: ' ' (0x20)
4.564502083333333,SPI,MOSI: ' ' (0x20)
4.565405000000000,SPI,MOSI: w (0x77)
4.566307458333333,SPI,MOSI: w (0x77)
4.567209916666667,SPI,MOSI: w (0x77)
4.568112375000000,SPI,MOSI: . (0x2E)
4.569015000000000,SPI,MOSI: i (0x69)
4.569917666666667,SPI,MOSI: M (0x4D)
4.570820333333334,SPI,MOSI: I (0x49)
4.571723000000000,SPI,MOSI: V (0x56)
4.572625750000000,SPI,MOSI: . (0x2E)
4.573528416666667,SPI,MOSI: c (0x63)
4.574431083333334,SPI,MOSI: a (0x61)
4.575333833333334,SPI,MOSI: ' ' (0x20)
4.576236750000000,SPI,MOSI: ' ' (0x20)
4.577139708333333,SPI,MOSI: ' ' (0x20)
4.578042666666667,SPI,MOSI: '0' (0x00)
4.578945708333333,SPI,MOSI: '0' (0x00)
4.579848791666667,SPI,MOSI: ' ' (0x20)
4.580751708333334,SPI,MOSI: ' ' (0x20)
